"ID","Package","Item","Title","RowsCount","ColumnsCount","BinaryColumnsCount","CharacterColumnsCount","FactorColumnsCount","LogicalColumnsCount","NumericColumnsCount","CSVURL","DocURL","Description"
"AER-RecreationDemand","AER","RecreationDemand","Recreation Demand Data",659,8,2,0,2,0,6,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/RecreationDemand.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/RecreationDemand.html","RecreationDemand R Documentation   Recreation Demand Data   Description  
Cross-section data on the number of recreational boating trips to Lake Somerville, Texas, in 1980, based on a survey administered to 2,000 registered leisure boat owners in 23 counties in eastern Texas.   Usage   data(""RecreationDemand"")   Format  
A data frame containing 659 observations on 8 variables.    trips
Number of recreational boating trips.   quality
Facility's subjective quality ranking on a scale of 1 to 5.   ski
factor. Was the individual engaged in water-skiing at the lake?   income
Annual household income of the respondent (in 1,000 USD).   userfee
factor. Did the individual pay an annual user fee at Lake Somerville?   costC
Expenditure when visiting Lake Conroe (in USD).   costS
Expenditure when visiting Lake Somerville (in USD).   costH
Expenditure when visiting Lake Houston (in USD).     Details  
According to the original source (Seller, Stoll and Chavas, 1985, p. 168), the quality rating is on a scale from 1 to 5 and gives 0 for those who had not visited the lake. This explains the remarkably low mean for this variable, but also suggests that its treatment in various more recent publications is far from ideal. For consistency with other sources we handle the variable as a numerical variable, including the zeros.   Source  
Journal of Business \& Economic Statistics Data Archive.  
http://www.amstat.org/publications/jbes/upload/index.cfm?fuseaction=ViewArticles&pub=JBES&issue=96-4-OCT     References  
Cameron, A.C. and Trivedi, P.K. (1998). Regression Analysis of Count Data . Cambridge: Cambridge University Press.   
Gurmu, S. and Trivedi, P.K. (1996). Excess Zeros in Count Models for Recreational Trips. Journal of Business \& Economic Statistics ,  14 , 469–477.   
Ozuna, T. and Gomez, I.A. (1995). Specification and Testing of Count Data Recreation Demand Functions.  Empirical Economics , 20 , 543–550.   
Seller, C., Stoll, J.R. and Chavas, J.-P. (1985). Validation of Empirical Measures of Welfare Change: A Comparison of Nonmarket Techniques. Land Economics , 61 , 156–175.    See Also  
CameronTrivedi1998   Examples    data(""RecreationDemand"") ## Poisson model: ## Cameron and Trivedi (1998), Table 6.11 ## Ozuna and Gomez (1995), Table 2, col. 3 fm_pois <- glm(trips ~ ., data = RecreationDemand, family = poisson) summary(fm_pois) logLik(fm_pois) coeftest(fm_pois, vcov = sandwich) ## Negbin model: ## Cameron and Trivedi (1998), Table 6.11 ## Ozuna and Gomez (1995), Table 2, col. 5 library(""MASS"") fm_nb <- glm.nb(trips ~ ., data = RecreationDemand) coeftest(fm_nb, vcov = vcovOPG) ## ZIP model: ## Cameron and Trivedi (1998), Table 6.11 library(""pscl"") fm_zip <- zeroinfl(trips ~ . | quality + income, data = RecreationDemand) summary(fm_zip) ## Hurdle models ## Cameron and Trivedi (1998), Table 6.13 ## poisson-poisson fm_hp <- hurdle(trips ~ ., data = RecreationDemand, dist = ""poisson"", zero = ""poisson"") ## negbin-negbin fm_hnb <- hurdle(trips ~ ., data = RecreationDemand, dist = ""negbin"", zero = ""negbin"") ## binom-negbin == geo-negbin fm_hgnb <- hurdle(trips ~ ., data = RecreationDemand, dist = ""negbin"") ## Note: quasi-complete separation with(RecreationDemand, table(trips > 0, userfee))"
"AER-ResumeNames","AER","ResumeNames","Are Emily and Greg More Employable Than Lakisha and Jamal?",4870,27,21,0,25,0,2,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/ResumeNames.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/ResumeNames.html","ResumeNames R Documentation   Are Emily and Greg More Employable Than Lakisha and Jamal?   Description  
Cross-section data about resume, call-back and employer information for 4,870 fictitious resumes.    Usage   data(""ResumeNames"")   Format  
A data frame containing 4,870 observations on 27 variables.    name
factor indicating applicant's first name.   gender
factor indicating gender.   ethnicity
factor indicating ethnicity (i.e., Caucasian-sounding vs. African-American sounding first name).   quality
factor indicating quality of resume.   call
factor. Was the applicant called back?   city
factor indicating city: Boston or Chicago.   jobs
number of jobs listed on resume.   experience
number of years of work experience on the resume.   honors
factor. Did the resume mention some honors?   volunteer
factor. Did the resume mention some volunteering experience?   military
factor. Does the applicant have military experience?   holes
factor. Does the resume have some employment holes?   school
factor. Does the resume mention some work experience while at school?   email
factor. Was the e-mail address on the applicant's resume?   computer
factor. Does the resume mention some computer skills?   special
factor. Does the resume mention some special skills?   college
factor. Does the applicant have a college degree or more?   minimum
factor indicating minimum experience requirement of the employer.   equal
factor. Is the employer EOE (equal opportunity employment)?   wanted
factor indicating type of position wanted by employer.   requirements
factor. Does the ad mention some requirement for the job?   reqexp
factor. Does the ad mention some experience requirement?   reqcomm
factor. Does the ad mention some communication skills requirement?   reqeduc
factor. Does the ad mention some educational requirement?   reqcomp
factor. Does the ad mention some computer skills requirement?   reqorg
factor. Does the ad mention some organizational skills requirement?   industry
factor indicating type of employer industry.     Details  
Cross-section data about resume, call-back and employer information for 4,870 fictitious resumes sent in response to employment advertisements in Chicago and Boston in 2001, in a randomized controlled experiment conducted by Bertrand and Mullainathan (2004). The resumes contained information concerning the ethnicity of the applicant. Because ethnicity is not typically included on a resume, resumes were differentiated on the basis of so-called “Caucasian sounding names” (such as Emily Walsh or Gregory Baker) and “African American sounding names” (such as Lakisha Washington or Jamal Jones). A large collection of fictitious resumes were created and the pre-supposed ethnicity (based on the sound of the name) was randomly assigned to each resume. These resumes were sent to prospective employers to see which resumes generated a phone call from the prospective employer.    Source  
Online complements to Stock and Watson (2007).   References  
Bertrand, M. and Mullainathan, S. (2004). Are Emily and Greg More Employable Than Lakisha and Jamal? A Field Experiment on Labor Market Discrimination. American Economic Review , 94 , 991–1013.   
Stock, J.H. and Watson, M.W. (2007). Introduction to Econometrics , 2nd ed. Boston: Addison Wesley.    See Also  
StockWatson2007   Examples    data(""ResumeNames"") summary(ResumeNames) prop.table(xtabs(~ ethnicity + call, data = ResumeNames), 1)"
"AER-ShipAccidents","AER","ShipAccidents","Ship Accidents",40,5,1,0,3,0,2,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/ShipAccidents.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/ShipAccidents.html","ShipAccidents R Documentation   Ship Accidents   Description  
Data on ship accidents.    Usage   data(""ShipAccidents"")   Format  
A data frame containing 40 observations on 5 ship types in 4 vintages and 2 service periods.   type
factor with levels ""A"" to ""E"" for the different ship types,   construction
factor with levels ""1960-64"" , ""1965-69"" , ""1970-74"" , ""1975-79"" for the periods of construction,   operation
factor with levels ""1960-74"" , ""1975-79"" for the periods of operation,   service
aggregate months of service,   incidents
number of damage incidents.     Details  
The data are from McCullagh and Nelder (1989, p. 205, Table 6.2) and were also used by Greene (2003, Ch. 21), see below.   
There are five ships (observations 7, 15, 23, 31, 39) with an operation period  before the construction period, hence the variables service and  incidents are necessarily 0. An additional observation (34) has entries representing accidentally empty cells (see McCullagh and Nelder, 1989, p. 205).   
It is a bit unclear what exactly the above means. In any case, the models are fit only to those observations with service > 0 .    Source  
Online complements to Greene (2003).   
http://pages.stern.nyu.edu/~wgreene/Text/tables/tablelist5.htm     References  
Greene, W.H. (2003). Econometric Analysis , 5th edition. Upper Saddle River, NJ: Prentice Hall.   
McCullagh, P. and Nelder, J.A. (1989). Generalized Linear Models , 2nd edition. London: Chapman \& Hall.    See Also  
Greene2003   Examples    data(""ShipAccidents"") sa <- subset(ShipAccidents, service > 0) ## Greene (2003), Table 21.20 ## (see also McCullagh and Nelder, 1989, Table 6.3) sa_full <- glm(incidents ~ type + construction + operation, family = poisson, data = sa, offset = log(service)) summary(sa_full) sa_notype <- glm(incidents ~ construction + operation, family = poisson, data = sa, offset = log(service)) summary(sa_notype) sa_noperiod <- glm(incidents ~ type + operation, family = poisson, data = sa, offset = log(service)) summary(sa_noperiod) ## model comparison anova(sa_full, sa_notype, test = ""Chisq"") anova(sa_full, sa_noperiod, test = ""Chisq"") ## test for overdispersion dispersiontest(sa_full) dispersiontest(sa_full, trafo = 2)"
"AER-SIC33","AER","SIC33","SIC33 Production Data",27,3,0,0,0,0,3,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/SIC33.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/SIC33.html","SIC33 R Documentation   SIC33 Production Data   Description  
Statewide production data for primary metals industry (SIC 33).    Usage   data(""SIC33"")   Format  
A data frame containing 27 observations on 3 variables.    output
Value added.   labor
Labor input.   capital
Capital stock.     Source  
Online complements to Greene (2003). Table F6.1.   
http://pages.stern.nyu.edu/~wgreene/Text/tables/tablelist5.htm     References  
Greene, W.H. (2003). Econometric Analysis , 5th edition. Upper Saddle River, NJ: Prentice Hall.    See Also  
Greene2003   Examples    data(""SIC33"") ## Example 6.2 in Greene (2003) ## Translog model fm_tl <- lm(output ~ labor + capital + I(0.5 * labor^2) + I(0.5 * capital^2) + I(labor * capital), data = log(SIC33)) ## Cobb-Douglas model fm_cb <- lm(output ~ labor + capital, data = log(SIC33)) ## Table 6.2 in Greene (2003) deviance(fm_tl) deviance(fm_cb) summary(fm_tl) summary(fm_cb) vcov(fm_tl) vcov(fm_cb) ## Cobb-Douglas vs. Translog model anova(fm_cb, fm_tl) ## hypothesis of constant returns linearHypothesis(fm_cb, ""labor + capital = 1"") ## 3D Visualization if(require(""scatterplot3d"")) { s3d <- scatterplot3d(log(SIC33)[,c(2, 3, 1)], pch = 16) s3d$plane3d(fm_cb, lty.box = ""solid"", col = 4) } ## Interactive 3D Visualization if(require(""rgl"")) { x <- log(SIC33)[,2] y <- log(SIC33)[,3] z <- log(SIC33)[,1] rgl.open() rgl.bbox() rgl.spheres(x, y, z, radius = 0.15) x <- seq(4.5, 7.5, by = 0.5) y <- seq(5.5, 10, by = 0.5) z <- outer(x, y, function(x, y) predict(fm_cb, data.frame(labor = x, capital = y))) rgl.surface(x, y, z, color = ""blue"", alpha = 0.5, shininess = 128) }"
"AER-SmokeBan","AER","SmokeBan","Do Workplace Smoking Bans Reduce Smoking?",10000,7,5,0,6,0,1,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/SmokeBan.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/SmokeBan.html","SmokeBan R Documentation   Do Workplace Smoking Bans Reduce Smoking?   Description  
Estimation of the effect of workplace smoking bans on smoking of indoor workers.    Usage   data(""SmokeBan"")   Format  
A data frame containing 10,000 observations on 7 variables.    smoker
factor. Is the individual a current smoker?   ban
factor. Is there a work area smoking ban?   age
age in years.   education
factor indicating highest education level attained: high school (hs) drop out, high school graduate, some college, college graduate, master's degree (or higher).   afam
factor. Is the individual African-American?   hispanic
factor. Is the individual Hispanic?   gender
factor indicating gender.     Details  
SmokeBank is a cross-sectional data set with observations on 10,000 indoor workers, which is a subset of a 18,090-observation data set collected as part of the National Health Interview Survey in 1991 and then again (with different respondents) in 1993. The data set contains information on whether individuals were, or were not, subject to a workplace smoking ban, whether or not the individuals smoked and other individual characteristics.    Source  
Online complements to Stock and Watson (2007).   References  
Evans, W. N., Farrelly, M.C., and Montgomery, E. (1999). Do Workplace Smoking Bans Reduce Smoking?  American Economic Review , 89 , 728–747.   
Stock, J.H. and Watson, M.W. (2007). Introduction to Econometrics , 2nd ed. Boston: Addison Wesley.    See Also  
StockWatson2007   Examples    data(""SmokeBan"") ## proportion of non-smokers increases with education plot(smoker ~ education, data = SmokeBan) ## proportion of non-smokers constant over age plot(smoker ~ age, data = SmokeBan)"
"AER-SportsCards","AER","SportsCards","Endowment Effect for Sports Cards",148,9,4,0,6,0,3,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/SportsCards.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/SportsCards.html","SportsCards R Documentation   Endowment Effect for Sports Cards   Description  
Trading sports cards: Does ownership increase the value of goods to consumers?    Usage   data(""SportsCards"")   Format  
A data frame containing 148 observations on 9 variables.    good
factor. Was the individual given good A or B (see below)?   dealer
factor. Was the individual a dealer?   permonth
number of trades per month reported by the individual.   years
number of years that the individual has been trading.   income
factor indicating income group (in 1000 USD).   gender
factor indicating gender.   education
factor indicating highest level of education (8th grade or less, high school, 2-year college, other post-high school, 4-year college or graduate school).   age
age in years.   trade
factor. Did the individual trade the good he was given for the other good?     Details  
SportsCards contains data from 148 randomly selected traders who attended a trading card show in Orlando, Florida, in 1998. Traders were randomly given one of two sports collectables, say good A or good B, that had approximately equal market value. Those receiving good A were then given the option of trading good A for good B with the experimenter; those receiving good B were given the option of trading good B for good A with the experimenter. Good A was a ticket stub from the game that Cal Ripken Jr. set the record for consecutive games played, and Good B was a souvenir from the game that Nolan Ryan won his 300th game.    Source  
Online complements to Stock and Watson (2007).   References  
List, J.A. (2003). Does Market Experience Eliminate Market Anomalies?  Quarterly Journal of Economcis , 118 , 41–71.   
Stock, J.H. and Watson, M.W. (2007). Introduction to Econometrics , 2nd ed. Boston: Addison Wesley.    See Also  
StockWatson2007   Examples    data(""SportsCards"") summary(SportsCards) plot(trade ~ permonth, data = SportsCards, ylevels = 2:1, breaks = c(0, 5, 10, 20, 30, 70)) plot(trade ~ years, data = SportsCards, ylevels = 2:1, breaks = c(0, 5, 10, 20, 60))"
"AER-STAR","AER","STAR","Project STAR: Student-Teacher Achievement Ratio",11598,47,8,0,34,0,12,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/STAR.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/STAR.html","STAR R Documentation   Project STAR: Student-Teacher Achievement Ratio   Description  
The Project STAR public access data set, assessing the effect of reducing class size on test scores in the early grades.    Usage   data(""STAR"")   Format  
A data frame containing 11,598 observations on 47 variables.    gender
factor indicating student's gender.   ethnicity
factor indicating student's ethnicity with levels  ""cauc"" (Caucasian), ""afam"" (African-American), ""asian"" (Asian), ""hispanic"" (Hispanic), ""amindian"" (American-Indian) or ""other"" .   birth
student's birth quarter (of class yearqtr ).   stark
factor indicating the STAR class type in kindergarten: regular, small, or regular-with-aide. NA indicates that no STAR class was attended.   star1
factor indicating the STAR class type in 1st grade: regular, small, or regular-with-aide. NA indicates that no STAR class was attended.   star2
factor indicating the STAR class type in 2nd grade: regular, small, or regular-with-aide. NA indicates that no STAR class was attended.   star3
factor indicating the STAR class type in 3rd grade: regular, small, or regular-with-aide. NA indicates that no STAR class was attended.   readk
total reading scaled score in kindergarten.   read1
total reading scaled score in 1st grade.   read2
total reading scaled score in 2nd grade.   read3
total reading scaled score in 3rd grade.   mathk
total math scaled score in kindergarten.   math1
total math scaled score in 1st grade.   math2
total math scaled score in 2nd grade.   math3
total math scaled score in 3rd grade.   lunchk
factor indicating whether the student qualified for free lunch in kindergarten.   lunch1
factor indicating whether the student qualified for free lunch in 1st grade.   lunch2
factor indicating whether the student qualified for free lunch in 2nd grade.   lunch3
factor indicating whether the student qualified for free lunch in 3rd grade.   schoolk
factor indicating school type in kindergarten:  ""inner-city"" , ""suburban"" , ""rural"" or ""urban"" .   school1
factor indicating school type in 1st grade:  ""inner-city"" , ""suburban"" , ""rural"" or ""urban"" .   school2
factor indicating school type in 2nd grade:  ""inner-city"" , ""suburban"" , ""rural"" or ""urban"" .   school3
factor indicating school type in 3rd grade:  ""inner-city"" , ""suburban"" , ""rural"" or ""urban"" .   degreek
factor indicating highest degree of kindergarten teacher:  ""bachelor"" , ""master"" , ""specialist"" , or ""master+"" .   degree1
factor indicating highest degree of 1st grade teacher:  ""bachelor"" , ""master"" , ""specialist"" , or ""phd"" .   degree2
factor indicating highest degree of 2nd grade teacher:  ""bachelor"" , ""master"" , ""specialist"" , or ""phd"" .   degree3
factor indicating highest degree of 3rd grade teacher:  ""bachelor"" , ""master"" , ""specialist"" , or ""phd"" .   ladderk
factor indicating teacher's career ladder level in kindergarten: ""level1"" ,  ""level2"" , ""level3"" , ""apprentice"" , ""probation"" or ""pending"" .   ladder1
factor indicating teacher's career ladder level in 1st grade: ""level1"" ,  ""level2"" , ""level3"" , ""apprentice"" , ""probation"" or ""noladder"" .   ladder2
factor indicating teacher's career ladder level in 2nd grade: ""level1"" ,  ""level2"" , ""level3"" , ""apprentice"" , ""probation"" or ""noladder"" .   ladder3
factor indicating teacher's career ladder level in 3rd grade: ""level1"" ,  ""level2"" , ""level3"" , ""apprentice"" , ""probation"" or ""noladder"" .   experiencek
years of teacher's total teaching experience in kindergarten.   experience1
years of teacher's total teaching experience in 1st grade.   experience2
years of teacher's total teaching experience in 2nd grade.   experience3
years of teacher's total teaching experience in 3rd grade.   tethnicityk
factor indicating teacher's ethnicity in kindergarten with levels  ""cauc"" (Caucasian) or ""afam"" (African-American).   tethnicity1
factor indicating teacher's ethnicity in 1st grade with levels  ""cauc"" (Caucasian) or ""afam"" (African-American).   tethnicity2
factor indicating teacher's ethnicity in 2nd grade with levels  ""cauc"" (Caucasian) or ""afam"" (African-American).   tethnicity3
factor indicating teacher's ethnicity in 3rd grade with levels  ""cauc"" (Caucasian), ""afam"" (African-American), or ""asian"" (Asian).   systemk
factor indicating school system ID in kindergarten.   system1
factor indicating school system ID in 1st grade.   system2
factor indicating school system ID in 2nd grade.   system3
factor indicating school system ID in 3rd grade.   schoolidk
factor indicating school ID in kindergarten.   schoolid1
factor indicating school ID in 1st grade.   schoolid2
factor indicating school ID in 2nd grade.   schoolid3
factor indicating school ID in 3rd grade.     Details  
Project STAR (Student/Teacher Achievement Ratio) was a four-year longitudinal class-size study funded by the Tennessee General Assembly and conducted in the late 1980s by the State Department of Education. Over 7,000 students in 79 schools were randomly assigned into one of three interventions: small class (13 to 17 students per teacher), regular class (22 to 25 students per teacher), and regular-with-aide class (22 to 25 students with a full-time teacher's aide). Classroom teachers were also randomly assigned to the classes they would teach. The interventions were initiated as the students entered school in kindergarten and continued through third grade.   
The Project STAR public access data set contains data on test scores, treatment groups, and student and teacher characteristics for the four years of the experiment, from academic year 1985–1986 to academic year 1988–1989. The test score data analyzed in this chapter are the sum of the scores on the math and reading portion of the Stanford Achievement Test.  
Stock and Watson (2007) obtained the data set from the Project STAR Web site.   
The data is provided in wide format. Reshaping it into long format is illustrated below. Note that the levels of the degree , ladder  and tethnicity variables differ slightly between kindergarten and higher grades.    Source  
Online complements to Stock and Watson (2007).   References  
Stock, J.H. and Watson, M.W. (2007). Introduction to Econometrics , 2nd ed. Boston: Addison Wesley.    See Also  
StockWatson2007   Examples    data(""STAR"") ## Stock and Watson, p. 488 fmk <- lm(I(readk + mathk) ~ stark, data = STAR) fm1 <- lm(I(read1 + math1) ~ star1, data = STAR) fm2 <- lm(I(read2 + math2) ~ star2, data = STAR) fm3 <- lm(I(read3 + math3) ~ star3, data = STAR) coeftest(fm3, vcov = sandwich) plot(I(read3 + math3) ~ star3, data = STAR) ## Stock and Watson, p. 489 fmke <- lm(I(readk + mathk) ~ stark + experiencek, data = STAR) coeftest(fmke, vcov = sandwich) ## reshape data from wide into long format ## 1. variables and their levels nam <- c(""star"", ""read"", ""math"", ""lunch"", ""school"", ""degree"", ""ladder"", ""experience"", ""tethnicity"", ""system"", ""schoolid"") lev <- c(""k"", ""1"", ""2"", ""3"") ## 2. reshaping star <- reshape(STAR, idvar = ""id"", ids = row.names(STAR), times = lev, timevar = ""grade"", direction = ""long"", varying = lapply(nam, function(x) paste(x, lev, sep = """"))) ## 3. improve variable names and type names(star)[5:15] <- nam star$id <- factor(star$id) star$grade <- factor(star$grade, levels = lev, labels = c(""kindergarten"", ""1st"", ""2nd"", ""3rd"")) rm(nam, lev) ## fit a single model nested in grade (equivalent to fmk, fm1, fm2, fmk) fm <- lm(I(read + math) ~ 0 + grade/star, data = star) coeftest(fm, vcov = sandwich) ## visualization library(""lattice"") bwplot(I(read + math) ~ star | grade, data = star)"
"AER-StrikeDuration","AER","StrikeDuration","Strike Durations",62,2,0,0,0,0,2,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/StrikeDuration.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/StrikeDuration.html","StrikeDuration R Documentation   Strike Durations   Description  
Data on the duration of strikes in US manufacturing industries, 1968–1976.    Usage   data(""StrikeDuration"")   Format  
A data frame containing 62 observations on 2 variables for the period 1968–1976.    duration
strike duration in days.   uoutput
unanticipated output (a measure of unanticipated aggregate industrial production net of seasonal and trend components).     Details  
The original data provided by Kennan (1985) are on a monthly basis, for the period 1968(1) through 1976(12). Greene (2003) only provides the June data for each year. Also, the duration for observation 36 is given as 3 by Greene while Kennan has 2. Here we use Greene's version.   
uoutput is the residual from a regression of the logarithm of industrial production in manufacturing on time, time squared, and monthly dummy variables.   Source  
Online complements to Greene (2003).   
http://pages.stern.nyu.edu/~wgreene/Text/tables/tablelist5.htm     References  
Greene, W.H. (2003). Econometric Analysis , 5th edition. Upper Saddle River, NJ: Prentice Hall.   
Kennan, J. (1985). The Duration of Contract Strikes in US Manufacturing. Journal of Econometrics , 28 , 5–28.    See Also  
Greene2003   Examples    data(""StrikeDuration"") library(""MASS"") ## Greene (2003), Table 22.10 fit_exp <- fitdistr(StrikeDuration$duration, ""exponential"") fit_wei <- fitdistr(StrikeDuration$duration, ""weibull"") fit_wei$estimate[2]^(-1) fit_lnorm <- fitdistr(StrikeDuration$duration, ""lognormal"") 1/fit_lnorm$estimate[2] exp(-fit_lnorm$estimate[1]) ## Weibull and lognormal distribution have ## different parameterizations, see Greene p. 794 ## Greene (2003), Example 22.10 library(""survival"") fm_wei <- survreg(Surv(duration) ~ uoutput, dist = ""weibull"", data = StrikeDuration) summary(fm_wei)"
"AER-SwissLabor","AER","SwissLabor","Swiss Labor Market Participation Data",872,7,2,0,2,0,5,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/SwissLabor.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/SwissLabor.html","SwissLabor R Documentation   Swiss Labor Market Participation Data   Description  
Cross-section data originating from the health survey SOMIPOPS for Switzerland in 1981.   Usage   data(""SwissLabor"")   Format  
A data frame containing 872 observations on 7 variables.    participation
Factor. Did the individual participate in the labor force?   income
Logarithm of nonlabor income.   age
Age in decades (years divided by 10).   education
Years of formal education.   youngkids
Number of young children (under 7 years of age).   oldkids
Number of older children (over 7 years of age).   foreign
Factor. Is the individual a foreigner (i.e., not Swiss)?     Source  
Journal of Applied Econometrics Data Archive.  
http://qed.econ.queensu.ca/jae/1996-v11.3/gerfin/     References  
Gerfin, M. (1996). Parametric and Semi-Parametric Estimation of the Binary Response Model of Labour Market Participation. Journal of Applied Econometrics ,  11 , 321–339.    Examples    data(""SwissLabor"") ### Gerfin (1996), Table I. fm_probit <- glm(participation ~ . + I(age^2), data = SwissLabor, family = binomial(link = ""probit"")) summary(fm_probit) ### alternatively fm_logit <- glm(participation ~ . + I(age^2), data = SwissLabor, family = binomial) summary(fm_logit)"
"AER-TeachingRatings","AER","TeachingRatings","Impact of Beauty on Instructor's Teaching Ratings",463,12,6,0,7,0,5,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/TeachingRatings.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/TeachingRatings.html","TeachingRatings R Documentation   Impact of Beauty on Instructor's Teaching Ratings   Description  
Data on course evaluations, course characteristics, and professor characteristics for 463 courses for the academic years 2000–2002 at the University of Texas at Austin.    Usage   data(""TeachingRatings"")   Format  
A data frame containing 463 observations on 13 variables.    minority
factor. Does the instructor belong to a minority (non-Caucasian)?   age
the professor's age.   gender
factor indicating instructor's gender.   credits
factor. Is the course a single-credit elective (e.g., yoga, aerobics, dance)?   beauty
rating of the instructor's physical appearance by a panel of six students, averaged across the six panelists, shifted to have a mean of zero.   eval
course overall teaching evaluation score, on a scale of 1 (very unsatisfactory) to 5 (excellent).   division
factor. Is the course an upper or lower division course? (Lower division courses are mainly large freshman and sophomore courses)?   native
factor. Is the instructor a native English speaker?   tenure
factor. Is the instructor on tenure track?   students
number of students that participated in the evaluation.   allstudents
number of students enrolled in the course.   prof
factor indicating instructor identifier.     Details  
A sample of student instructional ratings for a group of university teachers along with beauty rating (average from six independent judges) and a number of other characteristics.    Source  
The data were provided by Prof. Hamermesh. The first 8 variables are also available in the online complements to Stock and Watson (2007) at    References  
Hamermesh, D.S., and Parker, A. (2005). Beauty in the Classroom: Instructors' Pulchritude and Putative Pedagogical Productivity.  Economics of Education Review , 24 , 369–376.   
Stock, J.H. and Watson, M.W. (2007). Introduction to Econometrics , 2nd ed. Boston: Addison Wesley.    See Also  
StockWatson2007   Examples    data(""TeachingRatings"", package = ""AER"") ## evaluation score vs. beauty plot(eval ~ beauty, data = TeachingRatings) fm <- lm(eval ~ beauty, data = TeachingRatings) abline(fm) summary(fm) ## prediction of Stock & Watson's evaluation score sw <- with(TeachingRatings, mean(beauty) + c(0, 1) * sd(beauty)) names(sw) <- c(""Watson"", ""Stock"") predict(fm, newdata = data.frame(beauty = sw)) ## Hamermesh and Parker, 2005, Table 3 fmw <- lm(eval ~ beauty + gender + minority + native + tenure + division + credits, weights = students, data = TeachingRatings) coeftest(fmw, vcov = vcovCL, cluster = TeachingRatings$prof)"
"AER-TechChange","AER","TechChange","Technological Change Data",41,3,0,0,0,0,3,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/TechChange.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/TechChange.html","TechChange R Documentation   Technological Change Data   Description  
US time series data, 1909–1949.   Usage   data(""TechChange"")   Format  
An annual multiple time series from 1909 to 1949 with 3 variables.    output
Output.   clr
Capital/labor ratio.   technology
Index of technology.     Source  
Online complements to Greene (2003), Table F7.2.   
http://pages.stern.nyu.edu/~wgreene/Text/tables/tablelist5.htm     References  
Greene, W.H. (2003). Econometric Analysis , 5th edition. Upper Saddle River, NJ: Prentice Hall.   
Solow, R. (1957). Technical Change and the Aggregate Production Function. Review of Economics and Statistics , 39 , 312–320.    See Also  
Greene2003   Examples    data(""TechChange"") ## Greene (2003) ## Exercise 7.1 fm1 <- lm(I(output/technology) ~ log(clr), data = TechChange) fm2 <- lm(I(output/technology) ~ I(1/clr), data = TechChange) fm3 <- lm(log(output/technology) ~ log(clr), data = TechChange) fm4 <- lm(log(output/technology) ~ I(1/clr), data = TechChange) ## Exercise 7.2 (a) and (c) plot(I(output/technology) ~ clr, data = TechChange) library(""strucchange"") sctest(I(output/technology) ~ log(clr), data = TechChange, type = ""Chow"", point = c(1942, 1))"
"AER-TradeCredit","AER","TradeCredit","Trade Credit and the Money Market",21,7,0,0,0,0,7,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/TradeCredit.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/TradeCredit.html","TradeCredit R Documentation   Trade Credit and the Money Market   Description  
Macroeconomic time series data from 1946 to 1966 on trade credit and the money market.    Usage   data(""TradeCredit"")   Format  
An annual multiple time series from 1946 to 1966 on 7 variables.    trade
Nominal total trade money.   reserve
Nominal effective reserve money.   gnp
GNP in current dollars.   utilization
Degree of market utilization.   interest
Short-term rate of interest.   size
Mean real size of the representative economic unit (1939 = 100).   price
GNP price deflator (1958 = 100).     Source  
The data are from Baltagi (2002).    References  
Baltagi, B.H. (2002). Econometrics , 3rd ed. Berlin, Springer.  
Laffer, A.B. (1970). Trade Credit and the Money Market. Journal of Political Economy ,  78 , 239–267.    See Also  
Baltagi2002   Examples    data(""TradeCredit"") plot(TradeCredit)"
