"ID","HowToGet"
"AER-PepperPrice","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/PepperPrice.csv""]"
"AER-PhDPublications","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/PhDPublications.csv""]"
"AER-ProgramEffectiveness","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/ProgramEffectiveness.csv""]"
"AER-PSID1976","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/PSID1976.csv""]"
"AER-PSID1982","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/PSID1982.csv""]"
"AER-PSID7682","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/PSID7682.csv""]"
"AER-RecreationDemand","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/RecreationDemand.csv""]"
"AER-ResumeNames","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/ResumeNames.csv""]"
"AER-ShipAccidents","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/ShipAccidents.csv""]"
"AER-SIC33","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/SIC33.csv""]"
"AER-SmokeBan","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/SmokeBan.csv""]"
"AER-SportsCards","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/SportsCards.csv""]"
"AER-STAR","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/STAR.csv""]"
"AER-StrikeDuration","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/StrikeDuration.csv""]"
"AER-SwissLabor","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/SwissLabor.csv""]"
"AER-TeachingRatings","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/TeachingRatings.csv""]"
"AER-TechChange","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/TechChange.csv""]"
"AER-TradeCredit","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/TradeCredit.csv""]"
"AER-TravelMode","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/TravelMode.csv""]"
"AER-UKInflation","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/UKInflation.csv""]"
"AER-UKNonDurables","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/UKNonDurables.csv""]"
"AER-USAirlines","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USAirlines.csv""]"
"AER-USConsump1950","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USConsump1950.csv""]"
"AER-USConsump1979","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USConsump1979.csv""]"
"AER-USConsump1993","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USConsump1993.csv""]"
"AER-USCrudes","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USCrudes.csv""]"
"AER-USGasB","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USGasB.csv""]"
"AER-USGasG","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USGasG.csv""]"
"AER-USInvest","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USInvest.csv""]"
"AER-USMacroB","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USMacroB.csv""]"
"AER-USMacroG","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USMacroG.csv""]"
"AER-USMacroSW","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USMacroSW.csv""]"
"AER-USMacroSWM","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USMacroSWM.csv""]"
"AER-USMacroSWQ","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USMacroSWQ.csv""]"
"AER-USMoney","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USMoney.csv""]"
"AER-USProdIndex","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USProdIndex.csv""]"
"AER-USSeatBelts","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USSeatBelts.csv""]"
"AER-USStocksSW","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/USStocksSW.csv""]"
"AER-WeakInstrument","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/WeakInstrument.csv""]"
"asaur-ashkenazi","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/asaur/ashkenazi.csv""]"
"asaur-ChanningHouse","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/asaur/ChanningHouse.csv""]"
"asaur-gastricXelox","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/asaur/gastricXelox.csv""]"
"asaur-hepatoCellular","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/asaur/hepatoCellular.csv""]"
"asaur-pancreatic","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/asaur/pancreatic.csv""]"
"asaur-pancreatic2","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/asaur/pancreatic2.csv""]"
"asaur-pharmacoSmoking","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/asaur/pharmacoSmoking.csv""]"
"asaur-prostateSurvival","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/asaur/prostateSurvival.csv""]"
"boot-acme","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/acme.csv""]"
"boot-aids","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/aids.csv""]"
"boot-aircondit","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/aircondit.csv""]"
"boot-aircondit7","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/aircondit7.csv""]"
"boot-amis","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/amis.csv""]"
"boot-aml","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/aml.csv""]"
"boot-beaver","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/beaver.csv""]"
"boot-bigcity","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/bigcity.csv""]"
"boot-brambles","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/brambles.csv""]"
"boot-breslow","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/breslow.csv""]"
"boot-calcium","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/calcium.csv""]"
"boot-cane","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/cane.csv""]"
"boot-capability","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/capability.csv""]"
"boot-catsM","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/catsM.csv""]"
"boot-cav","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/cav.csv""]"
"boot-cd4","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/cd4.csv""]"
"boot-channing","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/channing.csv""]"
"boot-city","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/city.csv""]"
"boot-claridge","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/claridge.csv""]"
"boot-cloth","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/cloth.csv""]"
"boot-co.transfer","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/co.transfer.csv""]"
"boot-coal","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/coal.csv""]"
"boot-darwin","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/darwin.csv""]"
"boot-dogs","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/dogs.csv""]"
"boot-downs.bc","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/downs.bc.csv""]"
"boot-ducks","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/ducks.csv""]"
"boot-fir","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/fir.csv""]"
"boot-frets","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/frets.csv""]"
"boot-grav","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/grav.csv""]"
"boot-gravity","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/gravity.csv""]"
"boot-hirose","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/hirose.csv""]"
"boot-islay","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/islay.csv""]"
"boot-manaus","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/manaus.csv""]"
"boot-melanoma","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/melanoma.csv""]"
"boot-motor","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/motor.csv""]"
"boot-neuro","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/neuro.csv""]"
"boot-nitrofen","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/nitrofen.csv""]"
"boot-nodal","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/nodal.csv""]"
"boot-nuclear","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/nuclear.csv""]"
"boot-paulsen","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/paulsen.csv""]"
"boot-poisons","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/poisons.csv""]"
"boot-polar","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/polar.csv""]"
"boot-remission","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/remission.csv""]"
"boot-salinity","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/salinity.csv""]"
"boot-survival","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/survival.csv""]"
"boot-tau","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/tau.csv""]"
"boot-tuna","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/tuna.csv""]"
"boot-urine","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/urine.csv""]"
"boot-wool","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/boot/wool.csv""]"
"carData-Adler","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Adler.csv""]"
"carData-AMSsurvey","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/AMSsurvey.csv""]"
"carData-Angell","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Angell.csv""]"
"carData-Anscombe","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Anscombe.csv""]"
"carData-Arrests","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Arrests.csv""]"
"carData-Baumann","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Baumann.csv""]"
"carData-BEPS","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/BEPS.csv""]"
"carData-Bfox","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Bfox.csv""]"
"carData-Blackmore","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Blackmore.csv""]"
"carData-Burt","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Burt.csv""]"
"carData-CanPop","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/CanPop.csv""]"
"carData-CES11","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/CES11.csv""]"
"carData-Chile","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Chile.csv""]"
"carData-Chirot","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Chirot.csv""]"
"carData-Cowles","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Cowles.csv""]"
"carData-Davis","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Davis.csv""]"
"carData-DavisThin","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/DavisThin.csv""]"
"carData-Depredations","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Depredations.csv""]"
"carData-Duncan","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Duncan.csv""]"
"carData-Ericksen","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Ericksen.csv""]"
"carData-Florida","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Florida.csv""]"
"carData-Freedman","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Freedman.csv""]"
"carData-Friendly","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Friendly.csv""]"
"carData-Ginzberg","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Ginzberg.csv""]"
"carData-Greene","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Greene.csv""]"
"carData-GSSvocab","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/GSSvocab.csv""]"
"carData-Guyer","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Guyer.csv""]"
"carData-Hartnagel","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Hartnagel.csv""]"
"carData-Highway1","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Highway1.csv""]"
"carData-KosteckiDillon","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/KosteckiDillon.csv""]"
"carData-Leinhardt","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Leinhardt.csv""]"
"carData-LoBD","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/LoBD.csv""]"
"carData-Mandel","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Mandel.csv""]"
"carData-Migration","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Migration.csv""]"
"carData-Moore","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Moore.csv""]"
"carData-MplsDemo","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/MplsDemo.csv""]"
"carData-MplsStops","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/MplsStops.csv""]"
"carData-Mroz","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Mroz.csv""]"
"carData-OBrienKaiser","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/OBrienKaiser.csv""]"
"carData-OBrienKaiserLong","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/OBrienKaiserLong.csv""]"
"carData-Ornstein","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Ornstein.csv""]"
"carData-Pottery","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Pottery.csv""]"
"carData-Prestige","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Prestige.csv""]"
"carData-Quartet","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Quartet.csv""]"
"carData-Robey","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Robey.csv""]"
"carData-Rossi","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Rossi.csv""]"
"carData-Sahlins","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Sahlins.csv""]"
"carData-Salaries","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Salaries.csv""]"
"carData-SLID","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/SLID.csv""]"
"carData-Soils","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Soils.csv""]"
"carData-States","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/States.csv""]"
"carData-TitanicSurvival","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/TitanicSurvival.csv""]"
"carData-Transact","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Transact.csv""]"
"carData-UN","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/UN.csv""]"
"carData-UN98","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/UN98.csv""]"
"carData-USPop","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/USPop.csv""]"
"carData-Vocab","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Vocab.csv""]"
"carData-WeightLoss","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/WeightLoss.csv""]"
"carData-Wells","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Wells.csv""]"
"carData-Womenlf","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Womenlf.csv""]"
"carData-Wong","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Wong.csv""]"
"carData-Wool","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/Wool.csv""]"
"carData-WVS","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/carData/WVS.csv""]"
"causaldata-abortion","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/abortion.csv""]"
"causaldata-adult_services","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/adult_services.csv""]"
"causaldata-auto","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/auto.csv""]"
"causaldata-avocado","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/avocado.csv""]"
"causaldata-black_politicians","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/black_politicians.csv""]"
"causaldata-castle","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/castle.csv""]"
"causaldata-close_college","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/close_college.csv""]"
"causaldata-close_elections_lmb","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/close_elections_lmb.csv""]"
"causaldata-cps_mixtape","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/cps_mixtape.csv""]"
"causaldata-credit_cards","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/credit_cards.csv""]"
"causaldata-gapminder","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/gapminder.csv""]"
"causaldata-google_stock","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/google_stock.csv""]"
"causaldata-gov_transfers","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/gov_transfers.csv""]"
"causaldata-gov_transfers_density","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/gov_transfers_density.csv""]"
"causaldata-greek_data","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/greek_data.csv""]"
"causaldata-mortgages","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/mortgages.csv""]"
"causaldata-Mroz","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/Mroz.csv""]"
"causaldata-nhefs","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/nhefs.csv""]"
"causaldata-nhefs_codebook","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/nhefs_codebook.csv""]"
"causaldata-nhefs_complete","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/nhefs_complete.csv""]"
"causaldata-nsw_mixtape","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/nsw_mixtape.csv""]"
"causaldata-organ_donations","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/organ_donations.csv""]"
"causaldata-restaurant_inspections","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/restaurant_inspections.csv""]"
"causaldata-ri","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/ri.csv""]"
"causaldata-scorecard","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/scorecard.csv""]"
"causaldata-snow","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/snow.csv""]"
"causaldata-social_insure","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/social_insure.csv""]"
"causaldata-texas","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/texas.csv""]"
"causaldata-thornton_hiv","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/thornton_hiv.csv""]"
"causaldata-titanic","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/titanic.csv""]"
"causaldata-training_bias_reduction","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/causaldata/training_bias_reduction.csv""]"
